Date,Visitors
2020-07-01,1
2020-07-02,2
2020-07-03,0
2020-07-04,1
2020-07-05,0
2020-07-06,0
2020-07-07,1
2020-07-08,1
2020-07-09,2
2020-07-10,3
2020-07-11,1
2020-07-12,1
2020-07-13,0
2020-07-14,1
2020-07-15,1
2020-07-16,3
2020-07-17,3
2020-07-18,1
2020-07-19,1
2020-07-20,2
2020-07-21,1
2020-07-22,1
2020-07-23,1
2020-07-24,4
2020-07-25,5
2020-07-26,1
2020-07-27,0
2020-07-28,0
2020-07-29,1
2020-07-30,2
2020-07-31,2
2020-08-01,1
